Actaea rubra
Actinidia arguta
Actinidia chinensis
Actinidia polygama
Actinostachys pennula
Adansonia digitata
Adelia ricinella
Adelia vaseyi
Adenanthera pavonina
Adenocaulon bicolor
Adenophorus X abbottiae
Adenophorus abietinus
Adenophorus X carsonii
Adenophorus epigaeus
Adenophorus haalilioanus
Adenophorus hymenophylloides
Adenophorus oahuensis
Adenophorus periens
Adenophorus pinnatifidus
Adenophorus tamariscinus
Adenophorus tenellus
Adenophorus tripinnatifidus
Adenophyllum cooperi
Adenophyllum porophylloides
Adenophyllum porophyllum
Adenophyllum wrightii
Adenostemma lavenia
Adenostemma verbesina
Adenostoma fasciculatum
Adenostoma sparsifolium
Adiantopsis paupercula
Adiantum aleuticum
Adiantum anceps
Adiantum capillus-veneris
Adiantum caudatum
Adiantum concinnum
Adiantum fragile
Adiantum hispidulum
Adiantum jordanii
Adiantum latifolium
Adiantum macrophyllum
Adiantum melanoleucum
Adiantum obliquum
Adiantum pedatum
Adiantum petiolatum
Adiantum pulverulentum
Adiantum pyramidale
Adiantum raddianum
Adiantum tenerum
Adiantum tetraphyllum
Adiantum X tracyi
Adiantum trapeziforme
Adiantum tricholepis
Adiantum villosum
Adiantum viridimontanum
Adiantum vivesii
Adiantum wilsonii
Adlumia fungosa
Adolphia californica
Adolphia infesta
Adonis aestivalis
Adonis annua
Adonis vernalis
Adoxa moschatellina
Aechmea bracteata
Aechmea fasciata
Aechmea lingulata
Aechmea nudicaulis
Aegilops crassa
Aegilops cylindrica
Aegilops geniculata
Aegilops neglecta
Aegilops tauschii
Aegilops triuncialis
Aegilops ventricosa
Aegiphila elata
Aegiphila integrifolia
Aegiphila martinicensis
Aegopodium podagraria
Aeonium arboreum
Aeonium haworthii
Aerva sericea
Aeschynomene americana
Aeschynomene evenia
Aeschynomene gracilis
Aeschynomene histrix
Aeschynomene indica
Aeschynomene paniculata
Aeschynomene pratensis
Aeschynomene rudis
Aeschynomene sensitiva
Aeschynomene villosa
Aeschynomene virginica
Aeschynomene viscidula
Aesculus X bushii
Aesculus californica
Aesculus flava
Aesculus glabra
Aesculus hippocastanum
Aesculus X hybrida
Aesculus X marylandica
Aesculus X mutabilis
Aesculus X neglecta
Aesculus parviflora
Aesculus pavia
Aesculus sylvatica
Aesculus X worlitzensis
Aethusa cynapium
Afrocarpus falcatus
Afrocarpus mannii
Agalinis acuta
Agalinis aphylla
Agalinis aspera
Agalinis auriculata
Agalinis caddoensis
Agalinis calycina
Agalinis decemloba
Agalinis densiflora
Agalinis divaricata
Agalinis edwardsiana
Agalinis fasciculata
Agalinis filicaulis
Agalinis filifolia
Agalinis flexicaulis
Agalinis gattingeri
Agalinis georgiana
Agalinis harperi
Agalinis heterophylla
Agalinis homalantha
Agalinis laxa
Agalinis linifolia
Agalinis maritima
Agalinis navasotensis
Agalinis neoscotica
Agalinis obtusifolia
Agalinis oligophylla
Agalinis paupercula
Agalinis plukenetii
Agalinis pulchella
Agalinis purpurea
Agalinis setacea
Agalinis skinneriana
Agalinis strictifolia
Agalinis tenella
Agalinis tenuifolia
Agalinis viridis
Agapanthus praecox
Agarista populifolia
Agastache breviflora
Agastache cana
Agastache cusickii
Agastache foeniculum
Agastache mearnsii
Agastache micrantha
Agastache nepetoides
Agastache occidentalis
Agastache pallida
Agastache pallidiflora
Agastache parvifolia
Agastache pringlei
Agastache rugosa
Agastache rupestris
Agastache scrophulariifolia
Agastache urticifolia
Agastache wrightii
Agathis robusta
Agave X ajoensis
Agave americana
Agave angustifolia
Agave X arizonica
Agave attenuata
Agave chrysantha
Agave decipiens
Agave delamateri
Agave deserti
Agave desmettiana
Agave eggersiana
Agave glomeruliflora
Agave gracilipes
Agave havardiana
Agave lechuguilla
Agave mckelveyana
Agave minor
Agave missionum
Agave murpheyi
Agave neglecta
Agave palmeri
Agave parryi
Agave parviflora
Agave phillipsiana
