Acacia mearnsii,0,1,0,1,2,1,0,1,1,0,1,1,1,0,NA,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,3,NA,1,0,0,1,NA,0,1,0,1,1,1,NA
Acacia melanoxylon,0,1,0,1,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,NA,1,0,1,2,0,1,0,0,NA,NA,0,NA,NA,1,0,1,0
Acacia nilotica,0,1,0,1,1,0,1,1,1,NA,1,NA,1,1,NA,0,0,0,NA,0,NA,0,1,NA,1,0,0,1,0,0,1,0,NA,NA,0,2,1,NA,NA,NA,1,NA,1,1,0,1,NA,0,0
Acacia nilotica,0,1,NA,2,2,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,4,0,1,0,0,NA,0,0,1,NA,1,1,1,NA
Acacia nilotica,2,3,NA,NA,NA,133
Acacia parramattensis,0,1,0,2,2,NA,1,1,1,0,0,0,1,0,0,0,NA,0,1,0,NA,0,1,0,0,0,0,1,0,1,1,NA,NA,0,0,3,0,1,0,0,0,1,0,1,NA,1,NA,1,NA
Acacia podalyriifolia,0,NA,NA,2,2,0,1,1,1,NA,NA,1,1,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,0,0,1,1,NA,0,0,2,NA,1,0,0,NA,1,1,NA,0,1,NA,1,NA
Acacia pycnantha,NA,NA,NA,1,2,0,0,1,1,0,0,1,1,0,NA,0,0,0,NA,0,NA,1,1,0,1,0,0,1,0,0,1,1,0,0,NA,NA,1,1,0,1,1,1,1,1,NA,1,NA,1,NA
Accacia retinodes,0,NA,NA,1,2,0,1,1,1,1,0,NA,1,0,NA,0,NA,0,NA,0,NA,0,1,0,NA,0,0,1,0,0,1,NA,NA,0,0,NA,0,1,0,0,NA,1,1,NA,NA,1,NA,1,NA
Acacia robusta,0,NA,NA,2,2,1,1,NA,1,0,NA,NA,1,1,NA,0,0,NA,NA,0,NA,NA,1,0,NA,0,0,1,0,0,1,NA,NA,0,0,NA,0,1,0,0,NA,0,0,1,NA,1,NA,1,NA
Acacia saligna,0,NA,NA,2,2,1,0,1,1,0,0,1,1,0,0,0,0,0,NA,0,NA,NA,1,0,1,0,0,1,0,0,1,NA,0,0,1,NA,1,1,0,0,1,1,1,1,1,1,1,1,NA
Acca sellowiana,0,NA,NA,2,2,NA,1,1,1,0,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,1,0,NA,0,0,0,0,0,1,NA,NA,0,NA,3,NA,1,0,0,NA,1,0,1,1,NA,1,NA,NA
Acca sellowiana,0,NA,NA,2,2,0,NA,1,1,0,0,0,0,0,0,0,NA,0,1,1,0,NA,1,0,0,0,0,0,0,NA,1,NA,1,0,NA,0,NA,1,0,0,0,1,0,1,1,0,1,NA,NA
Acacia stenophylla,0,0,0,2,2,1,1,1,0,0,0,NA,1,0,0,0,0,0,1,0,NA,0,1,0,1,0,0,1,0,0,1,NA,NA,0,1,NA,0,1,0,0,1,0,0,0,0,NA,1,1,NA
Acalypha godseffiana,0,0,0,2,1,0,1,1,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,2,0,1,0,0,0,0,0,0,0,NA,1,1,NA
Acalypha hispida,0,1,0,2,2,0,1,1,1,0,0,0,1,0,0,0,NA,0,0,1,0,1,1,0,0,0,0,0,0,0,1,NA,0,0,0,NA,0,1,0,NA,0,0,0,NA,0,NA,NA,NA,NA
Acalypha setosa,0,NA,NA,2,2,NA,NA,0,1,0,0,0,1,0,0,0,NA,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,1,NA,NA,0,0,1,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
Acalypha siamensis,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acalypha wilkesiana,0,1,0,2,2,0,1,1,1,0,0,0,1,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,0,0,2,0,1,0,0,0,0,0,0,0,NA,1,NA,NA
Acer rubrum,0,NA,NA,0,1,1,0,1,1,1,NA,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,NA,0,1,0,1,0,0,1,0,1,1,0,1,NA
Achillea millefolium,0,NA,NA,0,1,1,1,1,1,1,1,NA,1,0,0,0,0,0,1,NA,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,NA,1,NA
Acmella grandiflora,0,NA,NA,2,2,NA,1,1,0,0,0,0,1,0,0,0,NA,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,0,NA,1,0,1,NA,1,0,0,NA,0,NA,NA,NA,NA,NA
Acnistus arborescens,0,NA,NA,2,2,0,1,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,1,0,NA,0,0,0,0,0,1,1,1,0,1,2,NA,1,0,0,0,1,0,1,0,NA,NA,NA,NA
Acokanthera schimperi,0,NA,NA,2,2,1,1,0,0,0,0,0,0,0,NA,0,NA,1,NA,1,NA,NA,1,0,NA,0,0,0,0,0,1,NA,NA,0,NA,NA,NA,1,0,0,NA,1,0,1,NA,0,NA,1,NA
Acoelorraphe wrightii,0,0,0,2,2,0,1,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,NA,1,0,1,0,0,0,0,0,1,0,1,0,1,4,0,1,0,0,0,1,0,1,0,0,NA,1,NA
Acrocomia aculeata,0,NA,NA,2,2,0,1,0,1,0,0,0,0,1,NA,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,1,NA,1,0,NA,NA,NA,1,0,0,NA,0,0,1,NA,1,NA,1,NA
Actinidia polygama,0,NA,NA,0,1,1,0,0,0,0,0,0,1,0,NA,0,NA,0,NA,0,NA,NA,1,1,0,0,0,0,0,0,1,NA,0,0,NA,NA,0,1,0,0,NA,1,0,1,0,NA,NA,NA,NA
Actinorhytis calapparia,0,NA,NA,2,2,0,1,1,1,0,0,0,0,0,NA,0,NA,0,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,0,1,0,0,NA,NA,NA,1,0,NA,NA,NA,NA
