elegant dutchman's pipe	Aristolochia elegans Mast.	19	Vines
tall oatgrass	Arrhenatherum elatius (L.) Beauv. ex J.& K. Presl	646	Grass or Grasslike
absinth wormwood	Artemisia absinthium L.	396	Shrub or Subshrub
beach wormwood	Artemisia stelleriana Bess.	66	Forbs/Herbs
mugwort	Artemisia vulgaris L.	473	Forbs/Herbs
small carpetgrass, joint-head grass	Arthraxon hispidus (Thunb.) Makino	420	Grass or Grasslike
hairy jointgrass	Arthraxon hispidus var. hispidus (Thunb.) Makino	1	Grass or Grasslike
Italian arum	Arum italicum P. Mill.	31	Forbs/Herbs
bamboo orchid	Arundina graminifolia (D. Don) Hochr.	4	Forbs/Herbs
giant reed	Arundo donax L.	518	Grass or Grasslike
bloodflower milkweed	Asclepias curassavica L.	42	Forbs/Herbs
balloon cottonbush	Asclepias physocarpa (E. Mey.) Schlechter	4	Forbs/Herbs
Sprenger's asparagus fern	Asparagus aethiopicus L.	38	Shrub or Subshrub
African asparagus fern	Asparagus asparagoides (L.) Druce	11	Vines
onionweed	Asphodelus fistulosus Linnaeus	12	Forbs/Herbs
Chinese violet	Asystasia gangetica (L.) T. Anders	13	Vines
Australian saltbush	Atriplex semibaccata R. Br.	55	Shrub or Subshrub
peregrine saltbush	Atriplex suberecta I. Verd.	24	Forbs/Herbs
slender oat	Avena barbata Pott ex Link	75	Grass or Grasslike
wild oat	Avena fatua L.	522	Grass or Grasslike
broadleaf carpetgrass	Axonopus compressus (Sw.) Beauv.	53	Grass or Grasslike
carpetgrass	Axonopus fissifolius (Raddi) Kuhlm.	304	Grass or Grasslike
common bamboo	Bambusa vulgaris Schrad. ex J.C. Wendl.	23	Grass or Grasslike
yellow rocket	Barbarea vulgaris Ait. f.	1350	Forbs/Herbs
fivehook bassia	Bassia hyssopifolia (Pallas) Kuntz	201	Vines
Mexican fireweed	Bassia scoparia (L.) A.J. Scott	1005	Forbs/Herbs
mountain ebony	Bauhinia variegata L	16	Shrub or Subshrub
clubed begonia	Begonia cucullata Willd	28	Vines
bellardia	Bellardia trixago (L.) All	36	Forbs/Herbs
English daisy	Bellis perennis L.	16	Forbs/Herbs
wintergreen barberry	Berberis julianae C.K. Schneid.	3	Shrub or Subshrub
Japanese barberry	Berberis thunbergii DC.	755	Shrub or Subshrub
common barberry	Berberis vulgaris L	387	Shrub or Subshrub
hoary alyssum	Berteroa incana (L.) DC	593	Forbs/Herbs
European birch	Betula pendula Roth	103	Hardwood Trees
spanishneedles	Bidens bipinnata L.	1052	Forbs/Herbs
hairy beggarticks	Bidens pilosa L.	160	Forbs/Herbs
Javanese bishopwood	Bischofia javanica Blume	13	Hardwood Trees
plume poppy	Bocconia frutescens L.	2	Hardwood Trees
scarlet spiderling	Boerhavia coccinea P. mill.	83	Forbs/Herbs
Caucasian bluestem	Bothriochloa bladhii (Retz.) S.T. Blake	4	Grass or Grasslike
yellow bluestem	Bothriochloa ischaemum (L.) Keng	294	Grass or Grasslike
paperflower	Bougainvillea glabra Choisy	4	Vines
annual false-brome	Brachypodium distachyon (L.) Beauv.	37	Grass or Grasslike
perennial false-brome	Brachypodium sylvaticum (Huds.) Beauv.	22	Grass or Grasslike
Indian mustard	Brassica juncea (L.) Czern	608	Forbs/Herbs
black mustard	Brassica nigra (L.) W.D.J. Koch	864	Forbs/Herbs
birdsrape mustard	Brassica rapa L.	824	Forbs/Herbs
African mustard	Brassica tournefortii Gouan	37	Forbs/Herbs
snowbush	Breynia disticha J.R. & G. Forst.	4	Shrub or Subshrub
big quakinggrass	Briza maxima L.	57	Grass or Grasslike
little quakinggrass	Briza minor L.	41	Grass or Grasslike
field brome	Bromus arvensis L.	1653	Grass or Grasslike
rattlesnake brome	Bromus briziformis Fisch. & C.A. Mey.	130	Grass or Grasslike
rescuegrass	Bromus catharticus Vahl	681	Grass or Grasslike
ripgut brome	Bromus diandrus Roth	174	Grass or Grasslike
ripgut brome	Bromus diandrus ssp. rigidus (Roth) Sales	127	Grass or Grasslike
soft brome	Bromus hordeaceus L.	416	Grass or Grasslike
soft brome	Bromus hordeaceus ssp. hordeaceus L.	360	Grass or Grasslike
smooth brome	Bromus inermis Leyss.	1482	Grass or Grasslike
Japanese brome	Bromus japonicus Thunb.	32	Grass or Grasslike
bald brome	Bromus racemosus L.	1177	Grass or Grasslike
red brome	Bromus rubens L.	138	Grass or Grasslike
rye brome	Bromus secalinus L.	942	Grass or Grasslike
poverty brome	Bromus sterilis L.	316	Grass or Grasslike
cheatgrass	Bromus tectorum L.	1784	Grass or Grasslike
paper-mulberry	Broussonetia papyrifera (L.) L'Hér. ex Vent.	530	Hardwood Trees
oriental mangrove	Bruguiera sexangula (Lour.) Poir.	1	Hardwood Trees
white bryony	Bryonia alba L.	42	Vines
butterflybush	Buddleja davidii Franch.	156	Shrub or Subshrub
Lindley's butterflybush	Buddleja lindleyana Fortune ex Lindl.	23	Shrub or Subshrub
smokebush	Buddleja madagascariensis Lam.	5	Shrub or Subshrub
